                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.0006,                0.64488,                 1.0505,                0.88078,                 0.9944,                0.98048,                0.69636,                 1.0677,                0.60194,                 1.0232,             0.00020678,             0.00020678,             0.00020678
                     74,                 1.0008,                0.64423,                 1.0219,                0.88078,                 0.9944,                0.98048,                0.69636,                 1.0677,                0.60194,                 1.0232,             0.00020243,             0.00020243,             0.00020243
                     75,                 1.0056,                0.71644,                 1.0035,                0.87767,                0.99783,                0.95492,                 0.6642,                  1.086,                0.60171,                 1.0351,             0.00019788,             0.00019788,             0.00019788
                     76,                 1.0096,                0.63953,                0.97344,                0.87767,                0.99783,                0.95492,                 0.6642,                  1.086,                0.60171,                 1.0351,             0.00019313,             0.00019313,             0.00019313
                     77,                0.98365,                0.65156,                 1.0346,                0.87767,                0.99783,                0.95492,                 0.6642,                  1.086,                0.60171,                 1.0351,             0.00018818,             0.00018818,             0.00018818
                     78,                 1.0433,                0.67091,                  1.031,                 0.8946,                0.99547,                0.95476,                0.66393,                 1.1008,                 0.5911,                 1.0418,             0.00018303,             0.00018303,             0.00018303
                     79,                0.94435,                0.61378,                 0.9915,                 0.8946,                0.99547,                0.95476,                0.66393,                 1.1008,                 0.5911,                 1.0418,             0.00017768,             0.00017768,             0.00017768
                     80,                0.97614,                0.65889,                 1.0117,                 0.8946,                0.99547,                0.95476,                0.66393,                 1.1008,                 0.5911,                 1.0418,             0.00017214,             0.00017214,             0.00017214
                     81,                  0.988,                0.63581,                 1.0352,                0.91611,                0.99786,                0.95571,                0.67216,                 1.1057,                0.57236,                 1.0426,              0.0001664,              0.0001664,              0.0001664
                     82,                0.98518,                0.74208,                 1.0561,                0.91611,                0.99786,                0.95571,                0.67216,                 1.1057,                0.57236,                 1.0426,             0.00016046,             0.00016046,             0.00016046
